,5.000,2.500
0,,
1,5.02,0.0
2,,
3,5.04,6.667000000000001
4,,
5,5.06,0.833
6,,
7,5.08,10.0
8,,
9,5.1,3.333
10,,
11,5.12,3.333
12,,
13,5.14,2.5
14,,
15,5.16,4.167
16,,
17,5.18,3.333
18,,
19,5.2,5.0
20,,
21,5.22,4.167
22,,
23,5.24,3.333
24,,
25,5.26,3.333
26,,
27,5.28,2.5
28,,
29,5.3,4.167
30,,
31,5.32,6.667000000000001
32,,
33,5.34,1.6669999999999998
34,,
35,5.36,2.5
36,,
37,5.38,2.5
38,,
39,5.4,4.167
40,,
41,5.42,6.667000000000001
42,,
43,5.44,6.667000000000001
44,,
45,5.46,4.167
46,,
47,5.48,5.832999999999999
48,,
49,5.5,8.333
50,,
51,5.52,4.167
52,,
53,5.54,1.6669999999999998
54,,
55,5.56,4.167
56,,
57,5.58,4.167
58,,
59,5.6,0.833
60,,
61,5.62,4.167
62,,
63,5.64,5.832999999999999
64,,
65,5.66,5.0
66,,
67,5.68,4.167
68,,
69,5.7,3.333
70,,
71,5.72,5.832999999999999
72,,
73,5.74,4.167
74,,
75,5.76,8.333
76,,
77,5.78,3.333
78,,
79,5.8,3.333
80,,
81,5.82,4.167
82,,
83,5.84,3.333
84,,
85,5.86,4.167
86,,
87,5.88,5.832999999999999
88,,
89,5.9,3.333
90,,
91,5.92,3.333
92,,
93,5.94,3.333
94,,
95,5.96,4.167
96,,
97,5.98,1.6669999999999998
98,,
99,6.0,1.6669999999999998
100,,
101,6.02,1.6669999999999998
102,,
103,6.04,2.5
104,,
105,6.06,2.5
106,,
107,6.08,0.833
108,,
109,6.1,5.0
110,,
111,6.12,3.333
112,,
113,6.14,4.167
114,,
115,6.16,5.832999999999999
116,,
117,6.18,3.333
118,,
119,6.2,2.5
120,,
121,6.22,3.333
122,,
123,6.24,5.0
124,,
125,6.26,2.5
126,,
127,6.28,1.6669999999999998
128,,
129,6.3,1.6669999999999998
130,,
131,6.32,3.333
132,,
133,6.34,2.5
134,,
135,6.36,3.333
136,,
137,6.38,2.5
138,,
139,6.4,10.0
140,,
141,6.42,5.832999999999999
142,,
143,6.44,5.0
144,,
145,6.46,2.5
146,,
147,6.48,1.6669999999999998
148,,
149,6.5,7.5
150,,
151,6.52,10.0
152,,
153,6.54,4.167
154,,
155,6.56,1.6669999999999998
156,,
157,6.58,5.0
158,,
159,6.6,3.333
160,,
161,6.62,5.0
162,,
163,6.64,3.333
164,,
165,6.66,3.333
166,,
167,6.68,1.6669999999999998
168,,
169,6.7,5.832999999999999
170,,
171,6.72,5.0
172,,
173,6.74,5.832999999999999
174,,
175,6.76,10.0
176,,
177,6.78,2.5
178,,
179,6.8,2.5
180,,
181,6.82,1.6669999999999998
182,,
183,6.84,5.832999999999999
184,,
185,6.86,4.167
186,,
187,6.88,0.0
188,,
189,6.9,1.6669999999999998
190,,
191,6.92,4.167
192,,
193,6.94,6.667000000000001
194,,
195,6.96,4.167
196,,
197,6.98,3.333
198,,
199,7.0,5.832999999999999
200,,
201,7.02,4.167
202,,
203,7.04,3.333
204,,
205,7.06,3.333
206,,
207,7.08,5.832999999999999
208,,
209,7.1,5.0
210,,
211,7.12,4.167
212,,
213,7.14,6.667000000000001
214,,
215,7.16,3.333
216,,
217,7.18,4.167
218,,
219,7.2,2.5
220,,
221,7.22,6.667000000000001
222,,
223,7.24,4.167
224,,
225,7.26,5.0
226,,
227,7.28,6.667000000000001
228,,
229,7.3,5.0
230,,
231,7.32,9.167
232,,
233,7.34,1.6669999999999998
234,,
235,7.36,3.333
236,,
237,7.38,6.667000000000001
238,,
239,7.4,3.333
240,,
241,7.42,4.167
242,,
243,7.44,4.167
244,,
245,7.46,0.833
246,,
247,7.48,0.833
248,,
249,7.5,5.832999999999999
250,,
251,7.52,2.5
252,,
253,7.54,11.667
254,,
255,7.56,4.167
256,,
257,7.58,7.5
258,,
259,7.6,1.6669999999999998
260,,
261,7.62,1.6669999999999998
262,,
263,7.64,2.5
264,,
265,7.66,1.6669999999999998
266,,
267,7.68,4.167
268,,
269,7.7,2.5
270,,
271,7.72,5.0
272,,
273,7.74,4.167
274,,
275,7.76,5.0
276,,
277,7.78,6.667000000000001
278,,
279,7.8,4.167
280,,
281,7.82,5.0
282,,
283,7.84,5.832999999999999
284,,
285,7.86,3.333
286,,
287,7.88,5.832999999999999
288,,
289,7.9,2.5
290,,
291,7.92,3.333
292,,
293,7.94,5.0
294,,
295,7.96,3.333
296,,
297,7.98,6.667000000000001
298,,
299,8.0,1.6669999999999998
300,,
301,8.02,2.5
302,,
303,8.04,2.5
304,,
305,8.06,4.167
306,,
307,8.08,1.6669999999999998
308,,
309,8.1,4.167
310,,
311,8.12,1.6669999999999998
312,,
313,8.14,3.333
314,,
315,8.16,3.333
316,,
317,8.18,2.5
318,,
319,8.2,2.5
320,,
321,8.22,4.167
322,,
323,8.24,5.0
324,,
325,8.26,5.0
326,,
327,8.28,4.167
328,,
329,8.3,5.0
330,,
331,8.32,3.333
332,,
333,8.34,3.333
334,,
335,8.36,4.167
336,,
337,8.38,4.167
338,,
339,8.4,3.333
340,,
341,8.42,5.832999999999999
342,,
343,8.44,8.333
344,,
345,8.46,3.333
346,,
347,8.48,3.333
348,,
349,8.5,5.832999999999999
350,,
351,8.52,3.333
352,,
353,8.54,3.333
354,,
355,8.56,7.5
356,,
357,8.58,8.333
358,,
359,8.6,6.667000000000001
360,,
361,8.62,3.333
362,,
363,8.64,11.667
364,,
365,8.66,0.833
366,,
367,8.68,7.5
368,,
369,8.7,4.167
370,,
371,8.72,5.832999999999999
372,,
373,8.74,5.0
374,,
375,8.76,1.6669999999999998
376,,
377,8.78,10.0
378,,
379,8.8,3.333
380,,
381,8.82,8.333
382,,
383,8.84,6.667000000000001
384,,
385,8.86,4.167
386,,
387,8.88,5.0
388,,
389,8.9,5.832999999999999
390,,
391,8.92,2.5
392,,
393,8.94,2.5
394,,
395,8.96,8.333
396,,
397,8.98,8.333
398,,
399,9.0,5.832999999999999
400,,
401,9.02,3.333
402,,
403,9.04,3.333
404,,
405,9.06,3.333
406,,
407,9.08,3.333
408,,
409,9.1,2.5
410,,
411,9.12,5.832999999999999
412,,
413,9.14,3.333
414,,
415,9.16,0.833
416,,
417,9.18,2.5
418,,
419,9.2,4.167
420,,
421,9.22,8.333
422,,
423,9.24,4.167
424,,
