,5.000,2.500
0,5.02,6.667
1,5.04,4.167
2,5.06,4.167
3,5.08,3.333
4,5.1,7.5
5,5.12,3.333
6,5.14,4.167
7,5.16,4.167
8,5.18,2.5
9,5.2,5.0
10,5.22,4.167
11,5.24,3.333
12,5.26,7.5
13,5.28,7.5
14,5.3,4.167
15,5.32,4.167
16,5.34,0.833
17,5.36,8.333
18,5.38,5.833
19,5.4,5.0
20,5.42,5.833
21,5.44,7.5
22,5.46,3.333
23,5.48,3.333
24,5.5,5.0
25,5.52,4.167
26,5.54,5.0
27,5.56,8.333
28,5.58,7.5
29,5.6,3.333
30,5.62,4.167
31,5.64,6.667
32,5.66,5.0
33,5.68,2.5
34,5.7,2.5
35,5.72,5.833
36,5.74,4.167
37,5.76,5.0
38,5.78,2.5
39,5.8,6.667
40,5.82,4.167
41,5.84,4.167
42,5.86,2.5
43,5.88,4.167
44,5.9,3.333
45,5.92,6.667
46,5.94,5.833
47,5.96,7.5
48,5.98,6.667
49,6.0,4.167
50,6.02,3.333
51,6.04,3.333
52,6.06,4.167
53,6.08,1.667
54,6.1,4.167
55,6.12,2.5
56,6.14,4.167
57,6.16,6.667
58,6.18,4.167
59,6.2,4.167
60,6.22,7.5
61,6.24,5.0
62,6.26,4.167
63,6.28,4.167
64,6.3,3.333
65,6.32,5.0
66,6.34,2.5
67,6.36,5.0
68,6.38,4.167
69,6.4,7.5
70,6.42,1.667
71,6.44,6.667
72,6.46,4.167
73,6.48,5.0
74,6.5,3.333
75,6.52,3.333
76,6.54,4.167
77,6.56,5.0
78,6.58,8.333
79,6.6,5.0
80,6.62,4.167
81,6.64,4.167
82,6.66,3.333
83,6.68,5.833
84,6.7,4.167
85,6.72,4.167
86,6.74,3.333
87,6.76,3.333
88,6.78,3.333
89,6.8,3.333
90,6.82,3.333
91,6.84,3.333
92,6.86,3.333
93,6.88,3.333
94,6.9,5.0
95,6.92,5.0
96,6.94,5.0
97,6.96,5.0
98,6.98,4.167
99,7.0,3.333
100,7.02,8.333
101,7.04,7.5
102,7.06,4.167
103,7.08,5.833
104,7.1,3.333
105,7.12,5.0
106,7.14,5.833
107,7.16,5.0
108,7.18,2.5
109,7.2,4.167
110,7.22,5.833
111,7.24,3.333
112,7.26,5.833
113,7.28,5.833
114,7.3,7.5
